DSCF,20210930,404.87,404.87,391.54,392.61,47197500
DSCG,20210930,1465.02,1465.02,1443.9,1447.24,198989600
DSCH,20210930,808.59,812.13,793.24,793.38,46805800
DSCM,20210930,723.81,725.27,706.95,707,20628600
DSCN,20210930,1250.23,1254.27,1221.17,1221.19,41893800
DSCP,20210930,513.17,514.02,503.39,503.39,20379600
DSCR,20210930,7217.75,7254.86,7103.3,7110.81,131779000
DSCS,20210930,2197.89,2200.5,2157.76,2157.93,9332500
DSCT,20210930,1590.16,1592.87,1554.06,1554.15,50760900
DSCX,20210930,1181.78,1189.32,1160.85,1161.07,30660200
DSCY,20210930,1612.07,1614.13,1588.45,1589.58,660699700
DSDB,20210930,597.5,600.95,586.75,588.07,2129000
DSDN,20210930,477.04,479.15,471.13,471.3,5378300
DSDR,20210930,947.95,947.95,930.15,930.21,29005300
DSDS,20210930,482.32,482.88,470.25,470.25,5002800
DSDT,20210930,66.06,66.09,64.91,64.92,2481000
DSDV,20210930,200.04,200.83,198.17,198.55,17098400
DSEC,20210930,516.38,519.94,509.55,509.68,40791700
DSEE,20210930,665.01,668.69,654.42,654.55,53496100
DSEH,20210930,70.07,71.03,69.54,69.58,152600
DSEN,20210930,444.31,445.93,438.29,438.36,329220700
DSES,20210930,351.14,352.1,346.74,349.15,14690300
DSEU,20210930,303.81,304,299.82,300.31,95233100
DSFA,20210930,859.86,869.96,856.14,859.19,47804700
DSFB,20210930,708.04,708.96,696.25,696.35,87375900
DSFC,20210930,124.73,124.84,122.7,122.7,45476400
DSFD,20210930,742.2,742.2,731.19,731.26,14958800
DSFE,20210930,930.99,933.06,906.21,906.32,24579500
DSFH,20210930,493.93,494.28,475,475.09,3482000
DSFI,20210930,1680.02,1681.67,1642.13,1642.66,130140900
DSFN,20210930,824.75,824.77,808.38,808.45,573005100
DSFO,20210930,432.93,433.77,425.03,425.12,51635900
DSFP,20210930,599.02,600.18,588.09,588.22,51635900
DSFT,20210930,2659.69,2687.99,2627.43,2638.13,15094700
DSFV,20210930,950.47,950.47,930.53,930.64,0
DSGF,20210930,1883.09,1884.93,1840.62,1841.22,130140900
DSGI,20210930,563.56,564.79,550.12,550.16,38023700
DSGT,20210930,2500.55,2501.75,2454.49,2456.27,198794300
DSGU,20210930,267.36,267.41,263.43,263.69,8437500
DSHB,20210930,1409.34,1419.15,1363.62,1363.82,9569800
DSHC,20210930,1429.53,1440.57,1411.3,1411.62,274575500
DSHD,20210930,306.07,307.87,292.13,292.19,8188000
DSHG,20210930,934.11,938.28,913.03,913.16,31379400
DSHI,20210930,737,737.58,716.49,717.15,9715100
DSHL,20210930,86.8,87.06,84.52,84.73,7586000
DSHN,20210930,1110.58,1115.34,1092.87,1093.04,10139400
DSHP,20210930,2815.36,2827.7,2743.59,2744.17,46762600
DSHR,20210930,3149.27,3155.7,3038.66,3039.22,25593700
DSHV,20210930,753.14,755.74,738.31,738.56,4798100
DSIB,20210930,559.09,559.77,549.89,549.95,7048900
DSID,20210930,595.81,597.28,580.57,580.65,17644100
DSIF,20210930,55.74,55.81,54.55,54.57,6822300
DSIG,20210930,1113.93,1117.49,1094.74,1094.91,331819800
DSIL,20210930,926.32,928.91,908.46,910.48,22869000
DSIM,20210930,358.32,363.26,352.37,352.37,69583600
